"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"CT chest / CT pulmonary angiography","VBG",18,37383,3022,0.0808388839846989,0.0713435035110744,37382.9999999998,25719.814817856,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",18,46653,14118,0.302617195035689,0.296007814190255,46653.0000000006,33674.9047919154,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",18,37383,15186,0.40622742958029,0.395397125695936,37382.9999999998,25719.814817856,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",18,46653,6888,0.147643238376953,0.13012220839528,46653.0000000006,33674.9047919154,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",18,37383,6370,0.17039830939197,0.200335360748012,37382.9999999998,25719.814817856,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",19,46653,2167,0.0464493173000664,0.0477714846925833,46653.0000000005,33756.3110052165,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",19,37383,3022,0.0808388839846989,0.0719322405461178,37383.0000000001,25760.7473072778,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",19,46653,14118,0.302617195035689,0.295831330661437,46653.0000000005,33756.3110052165,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",19,37383,15186,0.40622742958029,0.395771519826697,37383.0000000001,25760.7473072778,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",19,46653,6888,0.147643238376953,0.129673850017236,46653.0000000005,33756.3110052165,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",19,37383,6370,0.17039830939197,0.20079210260662,37383.0000000001,25760.7473072778,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",20,46653,2167,0.0464493173000664,0.0476227473598293,46653.0000000001,33791.0147420606,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",20,37383,3022,0.0808388839846989,0.0711567816696937,37382.9999999998,25647.2401814447,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",20,46653,14118,0.302617195035689,0.295449235218487,46653.0000000001,33791.0147420606,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",20,37383,15186,0.40622742958029,0.395490803227976,37382.9999999998,25647.2401814447,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",20,46653,6888,0.147643238376953,0.129923733080249,46653.0000000001,33791.0147420606,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",20,37383,6370,0.17039830939197,0.199772752097675,37382.9999999998,25647.2401814447,0,"20260421_121048","2026-04-21 12:10:48.40139"
