"method","group","outcome","metric_type","level","estimate","lcl","ucl","n_model","events","run_id","run_ts"
"Weighted and adjusted","ABG","Death (60d)","Probability","Low",0.191678512367033,0.183708815333905,0.19990928026113,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","Death (60d)","Probability","Normal",0.114448443919605,0.109561830549459,0.119523751718567,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","Hypercapnic RF","Probability","High",0.223202473621462,0.214578052337331,0.232071109809976,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","Hypercapnic RF","Probability","Low",0.0427740542757931,0.0391006095902888,0.0467758137709812,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","Hypercapnic RF","Probability","Normal",0.0449685453587193,0.0419679698242149,0.0481728651200466,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","IMV","Probability","High",0.233485908213259,0.225406962749467,0.24176403852107,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","IMV","Probability","Low",0.2397211057162,0.231553084127718,0.248084235474083,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","IMV","Probability","Normal",0.187901428678731,0.182002971022186,0.193945723101158,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","NIV","Probability","High",0.152447648328559,0.144989566968906,0.16021747610755,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","NIV","Probability","Low",0.0669752075805234,0.0622412181475013,0.0720415972951553,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","NIV","Probability","Normal",0.0679260658222274,0.063982884062904,0.072093543470617,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","VBG","Death (60d)","Probability","High",0.11752340125096,0.110815141809681,0.124580853350748,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
