"group","outcome","co2_scale","co2_value","paco2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"ABG","imv_proc","paco2",36.0854271356784,36.0854271356784,"common_source_marginal_standardized",-1.3978500172382,0.00695377636706682,0.000818382866619929,0.198194765222266,20,20,5175,1000,1000,0.00781307837701775,0.0883916193822568,0.198157502902757,0.172059977715836,0.227127520387003,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",36.3969849246231,36.3969849246231,"common_source_marginal_standardized",-1.41759474625515,0.00685382818492312,0.000820670064952241,0.195076227932566,20,20,5175,1000,1000,0.00771553175312297,0.0878380996670748,0.195038928442855,0.169418028751852,0.223491870716928,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",36.7085427135678,36.7085427135678,"common_source_marginal_standardized",-1.43728026256984,0.00681688035077191,0.000825190548007731,0.192004294222039,20,20,5175,1000,1000,0.00768333042618003,0.0876546086990298,0.191966868841334,0.166715924824042,0.22003245879699,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",37.0201005025126,37.0201005025126,"common_source_marginal_standardized",-1.45677255058607,0.00684372288335824,0.00083190741256068,0.188999090200109,20,20,5175,1000,1000,0.00771722566654695,0.0878477413855755,0.188961451579612,0.16397368616904,0.216769751067164,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",37.3316582914573,37.3316582914573,"common_source_marginal_standardized",-1.4759373415785,0.00693309393787042,0.000840708923139748,0.186079778863266,20,20,5175,1000,1000,0.00781583830716715,0.0884072299485011,0.186041844233755,0.16121500352235,0.213717823021407,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",37.643216080402,37.643216080402,"common_source_marginal_standardized",-1.49464012497299,0.00708167986641197,0.000851409532870786,0.1832645970059,20,20,5175,1000,1000,0.0079756598759263,0.0893065500169293,0.183226291267066,0.158466719393433,0.210884969414068,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",37.9547738693467,37.9547738693467,"common_source_marginal_standardized",-1.51274616401008,0.00728416006198342,0.000863752469548744,0.180570909722236,20,20,5175,1000,1000,0.0081911001550096,0.0905046968671217,0.180532168331295,0.155758038498585,0.208274642056887,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",38.2663316582915,38.2663316582915,"common_source_marginal_standardized",-1.53012051561816,0.00753329729116127,0.0008774139112527,0.178015282011012,20,20,5175,1000,1000,0.00845458189797661,0.0919488004161915,0.177976053597394,0.153119600081251,0.205886579338108,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",38.5778894472362,38.5778894472362,"common_source_marginal_standardized",-1.54662805431894,0.00782007413647878,0.000892008772383263,0.175613566923566,20,20,5175,1000,1000,0.0087566833474812,0.0935771518453153,0.175573815566981,0.150582556503748,0.203717979428939,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",38.8894472361809,38.8894472361809,"common_source_marginal_standardized",-1.56213349999469,0.00813387606371442,0.00090709811687347,0.173381009668477,20,20,5175,1000,1000,0.00908632908643156,0.0953222381526554,0.173340716788568,0.148177778386046,0.201764593055354,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",39.2010050251256,39.2010050251256,"common_source_marginal_standardized",-1.57650144936465,0.00846272150532122,0.000922198210625965,0.171332367104691,20,20,5175,1000,1000,0.00943102962647849,0.0971134883859008,0.171291532920736,0.145935261691064,0.200021656717988,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",39.5125628140703,39.5125628140703,"common_source_marginal_standardized",-1.58959641104713,0.00879353921221013,0.000936791220068023,0.16948204212036,20,20,5175,1000,1000,0.00977716999328156,0.0988795731851708,0.169440686648346,0.143883764366835,0.198484635473705,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",39.8241206030151,39.8241206030151,"common_source_marginal_standardized",-1.60128284412369,0.00911249297449307,0.000950337558171964,0.167844232504768,20,20,5175,1000,1000,0.0101103474105736,0.100550223324335,0.167802396065743,0.142050662081045,0.197149783195714,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",40,40,"common_source_marginal_standardized",-1.60720685188518,0.00928194120712527,0.000957315727911659,0.167018849143441,20,20,5175,1000,1000,0.0102871227214325,0.101425454011468,0.166976766676019,0.14112216727064,0.196484494597632,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",40.1356783919598,40.1356783919598,"common_source_marginal_standardized",-1.6114280627332,0.00940546234467465,0.000962294496589551,0.166432697193318,20,20,5175,1000,1000,0.0104158715660937,0.102058177360237,0.16639044023811,0.140461511719975,0.196014273538802,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",40.4472361809045,40.4472361809045,"common_source_marginal_standardized",-1.61999051498408,0.0096620065117297,0.000972281100215769,0.165248781457989,20,20,5175,1000,1000,0.0106829016669563,0.103358123371878,0.165206178294381,0.139125487159225,0.195068155901897,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",40.7587939698493,40.7587939698493,"common_source_marginal_standardized",-1.62703662475419,0.00987722042742627,0.000980148466526193,0.164279588421667,20,20,5175,1000,1000,0.0109063763172788,0.104433597645962,0.164236718435507,0.138032729169045,0.194293947167026,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",41.070351758794,41.070351758794,"common_source_marginal_standardized",-1.63263926756263,0.0100482253671903,0.00098582709467099,0.163512184066761,20,20,5175,1000,1000,0.0110833438165949,0.10527746110443,0.163469128738852,0.13717160496534,0.193676553334751,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",41.3819095477387,41.3819095477387,"common_source_marginal_standardized",-1.6368715095406,0.0101737316510736,0.000989308698373349,0.162934365782621,20,20,5175,1000,1000,0.0112125057843656,0.105889120236054,0.162891206446528,0.136530070587043,0.193203281229884,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",41.6934673366834,41.6934673366834,"common_source_marginal_standardized",-1.6398065821651,0.0102538331301995,0.000990637959747934,0.162534566750775,20,20,5175,1000,1000,0.0112940029879348,0.106273246811861,0.162491382695836,0.136095880842689,0.192863359236016,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",42.0050251256281,42.0050251256281,"common_source_marginal_standardized",-1.64151785869168,0.010289811155802,0.000989904669935851,0.162301766211444,20,20,5175,1000,1000,0.0113292110592347,0.106438766712296,0.162258633096243,0.135856713656743,0.192647563123793,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",42.3165829145729,42.3165829145729,"common_source_marginal_standardized",-1.64207883219756,0.010283948452792,0.000987236273275406,0.162225405437442,20,20,5175,1000,1000,0.0113205465397312,0.106398057029869,0.162182393982718,0.135800232885762,0.192547921780178,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",42.6281407035176,42.6281407035176,"common_source_marginal_standardized",-1.64156309515155,0.0102393532563496,0.000982790829178164,0.162295309229699,20,20,5175,1000,1000,0.0112712836269867,0.106166301748656,0.162252484163407,0.135914108226179,0.192557483050092,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",42.9396984924623,42.9396984924623,"common_source_marginal_standardized",-1.64004432043443,0.0101597940134366,0.000976750403610891,0.162501612751254,20,20,5175,1000,1000,0.0111853819372281,0.105760966037703,0.162459031982041,0.136186006536619,0.192670124240174,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",43.251256281407,43.251256281407,"common_source_marginal_standardized",-1.63759624374231,0.010049544900638,0.000969314900065205,0.162834693529497,20,20,5175,1000,1000,0.0110673255457064,0.105201357147645,0.162792407528023,0.136603565642035,0.192880395186259,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",43.5628140703518,43.5628140703518,"common_source_marginal_standardized",-1.63429264731523,0.00991324236466609,0.000960696338094669,0.163285108476301,20,20,5175,1000,1000,0.0109219735196655,0.10450824618022,0.16324315984656,0.137154359282976,0.193183384322623,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",43.8743718592965,43.8743718592965,"common_source_marginal_standardized",-1.63020734494332,0.00975575285151875,0.000951113585888185,0.163843535799805,20,20,5175,1000,1000,0.0107544221167013,0.103703529914373,0.163801959024794,0.137825860118064,0.193574600099541,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",44.1859296482412,44.1859296482412,"common_source_marginal_standardized",-1.62541416821267,0.00958205185405435,0.00094078755190105,0.16450072170778,20,20,5175,1000,1000,0.0105698787835505,0.102809915784181,0.164459543055549,0.138605406393576,0.194049861552088,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",44.4974874371859,44.4974874371859,"common_source_marginal_standardized",-1.61998695396285,0.00939711437512928,0.00092993683926006,0.165247431829162,20,20,5175,1000,1000,0.0103735480563523,0.10185061637689,0.165206669406433,0.139480176895043,0.194605192984326,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",44.8090452261306,44.8090452261306,"common_source_marginal_standardized",-1.61399953293726,0.00920581687399602,0.000918773865480261,0.166074407305929,20,20,5175,1000,1000,0.0101705294327503,0.100849042795409,0.166034071247136,0.140437177946854,0.19523671873708,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",45.1206030150754,45.1206030150754,"common_source_marginal_standardized",-1.60752571961539,0.00901285073707472,0.000907501448963694,0.166972325531244,20,20,5175,1000,1000,0.0099657272584866,0.0998284892126822,0.166932418311085,0.14146324540119,0.195940554975139,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",45.4321608040201,45.4321608040201,"common_source_marginal_standardized",-1.60063930322384,0.00882264729024954,0.000896309862786989,0.167931765530691,20,20,5175,1000,1000,0.00976377264617588,0.0988118041843983,0.167892282388109,0.142545063651889,0.196712696461856,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
