"variable","level","type","smd_pre","smd_post","group","imp","run_id","run_ts"
"age_at_encounter",NA,"numeric",0.112153426374432,0.05428950595418,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Female","factor",-0.07791237142034,-0.0217177685720693,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Male","factor",0.0779123714203399,0.021717768572038,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","0","factor",0.0526458942491266,0.0137347785984927,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","1","factor",-0.0738401276386432,-0.00605734815084205,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","2","factor",-0.0510207351504762,-0.0252889451224314,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","3","factor",0.0132592329728474,0.000307451454468796,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","4","factor",0.0432910223497279,0.00843527840069426,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","5","factor",-0.00271650504953615,-0.00508501551974487,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","6","factor",0.0312602798265828,0.00427189614340724,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"curr_bmi",NA,"numeric",-0.229210124423498,-0.0511834982877489,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","0","factor",-0.0441619035550022,-0.0247652219629595,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","1","factor",0.0441619035550023,0.024765221962933,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","0","factor",0.0637596693350249,0.0102499728084479,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","1","factor",-0.0637596693350249,-0.0102499728084571,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","0","factor",0.0448861582760451,-0.0111741936183229,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","1","factor",-0.0448861582760449,0.0111741936182967,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","0","factor",-0.06258903887772,-0.0324786173077375,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","1","factor",0.06258903887772,0.0324786173077119,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"acute_nmd","0","factor",-0.00784411947443327,-0.00352283344973673,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"acute_nmd","1","factor",0.00784411947443442,0.00352283344976748,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","0","factor",-0.0474360216201267,-0.0186253622869081,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","1","factor",0.0474360216201263,0.0186253622869039,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","0","factor",-0.0498309137994015,-0.0343325561417176,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","1","factor",0.0498309137994015,0.0343325561416926,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","0","factor",-0.0183900968420593,-0.0305016721534755,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","1","factor",0.0183900968420592,0.0305016721534495,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"location","0","factor",0.172842061895068,0.0870138018429645,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"location","1","factor",-0.138855339232674,-0.0728294817994961,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"location","2","factor",0.0335591849025047,-0.0318407028580554,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"location","3","factor",-0.0863437003124133,-0.00843295258894975,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"encounter_type","Emergency","factor",-0.379033442476437,-0.0860814332716229,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"encounter_type","Inpatient","factor",0.379033442476437,0.0860814332715942,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"temp_new",NA,"numeric",-0.0890349725063312,-0.0111947967566355,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"sbp",NA,"numeric",-0.168464892871139,-0.0324963052511744,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"dbp",NA,"numeric",-0.166343172401695,-0.0389577898473109,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"hr",NA,"numeric",-0.0679320930713667,-0.0225757265246718,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"sodium",NA,"numeric",-0.0330579555375745,-0.0181831419761783,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_cr",NA,"numeric",0.0533064530390235,0.0403086042192495,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_hco3",NA,"numeric",-0.128757959725085,0.00198402880839225,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_cl",NA,"numeric",0.0232482488831891,-0.0129593098594783,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_lac",NA,"numeric",0.106108749411971,0.013517285323747,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_k",NA,"numeric",0.0183324341597191,0.0236475810794913,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"wbc",NA,"numeric",0.116210064542619,0.0148854585137324,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"plt",NA,"numeric",-0.110205749347419,-0.00870408720407594,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_phos",NA,"numeric",0.0876474817012309,0.0170439217283956,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_ca",NA,"numeric",-0.24482804564882,-0.0212335086040213,"ABG",4,"20260423_111150","2026-04-23 11:11:50.486947"
"age_at_encounter",NA,"numeric",0.112153426374432,0.052708414131776,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Female","factor",-0.07791237142034,-0.0191247441921945,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Male","factor",0.0779123714203399,0.0191247441921954,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","0","factor",0.0526458942491266,0.0134893408795289,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","1","factor",-0.0738401276386432,-0.00403215939726652,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","2","factor",-0.0510207351504762,-0.0267503961001065,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","3","factor",0.0132592329728474,-0.00055336625071774,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","4","factor",0.0432910223497279,0.00895019719995881,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","5","factor",-0.00271650504953615,-0.00474441249106096,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","6","factor",0.0312602798265828,0.00352614071605041,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"curr_bmi",NA,"numeric",-0.227102242591527,-0.0533021531692038,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","0","factor",-0.0441619035550022,-0.0254261793242531,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","1","factor",0.0441619035550023,0.0254261793242521,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","0","factor",0.0637596693350249,0.00885758340262499,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","1","factor",-0.0637596693350249,-0.00885758340261322,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","0","factor",0.0448861582760451,-0.010307895495513,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","1","factor",-0.0448861582760449,0.0103078954955124,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","0","factor",-0.06258903887772,-0.0307581141970801,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","1","factor",0.06258903887772,0.0307581141970745,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"acute_nmd","0","factor",-0.00784411947443327,-0.00311351128748158,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"acute_nmd","1","factor",0.00784411947443442,0.00311351128748817,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","0","factor",-0.0474360216201267,-0.0194820664595425,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","1","factor",0.0474360216201263,0.0194820664595402,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","0","factor",-0.0498309137994015,-0.0344797885146189,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","1","factor",0.0498309137994015,0.0344797885146223,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","0","factor",-0.0183900968420593,-0.0301186303610213,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","1","factor",0.0183900968420592,0.0301186303610179,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"location","0","factor",0.172842061895068,0.0878225105016604,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"location","1","factor",-0.138855339232674,-0.0744294055385925,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"location","2","factor",0.0335591849025047,-0.0311793003433383,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"location","3","factor",-0.0863437003124133,-0.00814209360018203,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
"encounter_type","Emergency","factor",-0.379033442476437,-0.0846236928023333,"ABG",5,"20260423_111150","2026-04-23 11:11:50.486947"
