"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"Transthoracic echocardiography","VBG",18,1445,250,0.173010380622837,0.210041224974249,1445,898.92842838663,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",19,1911,81,0.0423861852433281,0.0385783685393171,1911,1368.24975997786,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",19,1445,121,0.0837370242214533,0.0780677468101819,1445,938.928573979174,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",19,1911,522,0.273155416012559,0.263269244297261,1911,1368.24975997786,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",19,1445,578,0.4,0.392663974474962,1445,938.928573979174,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",19,1911,285,0.149136577708006,0.133282380503017,1911,1368.24975997786,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",19,1445,250,0.173010380622837,0.212331086097462,1445,938.928573979174,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",20,1911,81,0.0423861852433281,0.039624518947651,1911,1380.7016910567,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",20,1445,121,0.0837370242214533,0.0806416711512714,1445,974.938123416419,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",20,1911,522,0.273155416012559,0.261781764418908,1911,1380.7016910567,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",20,1445,578,0.4,0.406532487412691,1445,974.938123416419,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",20,1911,285,0.149136577708006,0.131858572452675,1911,1380.7016910567,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",20,1445,250,0.173010380622837,0.213258872066312,1445,974.938123416419,0,"20260424_063653","2026-04-24 06:36:53.744157"
